tweet4taiji,0.0686488169
thecove,0.0499688667
seashepherd,0.0484122042
national,0.0452988792
whale,0.1515670266
japan,0.1489333684
forcechange,0.1120621543
denounce,0.1094284962
slaughter,0.1094284962
yeet,0.1622121126
vine,0.0811771396
internet,0.0811771396
lebroning,0.0811771396
compilation,0.0797554734
whaling,0.1881426735
new,0.0371143959
court,0.0226542416
time,0.0162275064
sea,0.0350848021
shepherd,0.0300964416
australia,0.026770868
industry,0.0184569338
whaling,0.1889775867
japanese,0.0723058029
town,0.0431378569
sued,0.0354620817
dolphin,0.0323917716
whaling,0.0692960402
ship,0.0614393463
whales,0.0520113136
news,0.0331552483
japan,0.1236933798
ban,0.0413367121
pacific,0.0350015838
century,0.0207475451
